SizeOfData DLL MajorNo Checksum Class
-260294850 -3982 11059 -260567669 Clean
84067530 1448 23025 87409866 Clean
-2068164812 -31494 27885 1751345490 Clean
-671519885 0 30714 0 Clean
114688 -32768 0 49970 Clean
1834101888 0 3931 0 Clean
-1874190886 -28471 26105 1751345490 Clean
-1251994712 -19026 -10943 -1251853505 Clean
0 0 0 0 Clean
1773655734 5 0 17744 Clean
0 0 0 0 Clean
0 0 0 0 Clean
0 0 0 0 Clean
-778887063 -11821 949 1751345490 Clean
-2057029506 -31317 -378 -2056843031 Clean
62976 -31424 0 510507 Clean
606229196 9314 28931 1751345490 Clean
116959713 1785 -22265 1751345490 Clean
-1042235995 0 -14931 0 Clean
53385042 4 -30660 17744 Clean
419000879 6390 32538 413954607 Clean
-1939758437 -29521 26022 -1942461334 Clean
-1357261621 4 -13399 17744 Clean
28672 0 1 823898 Clean
76800 -31424 0 0 Clean
64512 -31424 0 0 Clean
-496632979 0 -1227 0 Clean
409815406 6243 22010 1751345490 Clean
-596234906 -9115 12850 -597413328 Clean
0 0 0 0 Clean
-33317881 0 -16420 0 Clean
1807702742 27647 31004 1751345490 Clean
7680 -31424 0 0 Clean
846632598 12914 -30216 1751345490 Clean
-51601069 -852 -32080 1751345490 Clean
-522635717 -8039 5598 1751345490 Clean
